Lesson Code,Lesson Name,Teacher Name,Lesson Date,Lesson Hours,Lesson Credit
AD102.01,INTRODUCTION TO MANAGEMENT,STAFF STAFF,📅 TTT,⏱️ 91011,3 Cr 5 ECTS
AD131.01,INTRO. TO LAW I,MEHMET ARTEMEL,📅 ThThTh,⏱️ 678,3 Cr 4 ECTS
AD131.02,INTRO. TO LAW I,MEHMET ARTEMEL,📅 FFF,⏱️ 678,3 Cr 4 ECTS
AD211.01,FINANCIAL ACCOUNTING FOR ECONOMISTS,FATİH F.YILMAZ,📅 MMM,⏱️ 123,3 Cr 4 ECTS
AD213.01,FINANCIAL ACCOUNTING,ALİ COŞKUN,📅 TTT,⏱️ 234,3 Cr 5 ECTS
AD213.02,FINANCIAL ACCOUNTING,ALİ COŞKUN,📅 WWW,⏱️ 234,3 Cr 5 ECTS
AD216.01,FINANCIAL & COST ACCOUNTING,UĞUR AKDOĞAN,📅 ThFFF,⏱️ 6678,4 Cr 6 ECTS
AD220.01,MANAGEMENT OF ORGANIZATIONS,ÖZGÜN BURCU RODOPMAN,📅 ThThTh,⏱️ 234,3 Cr 5 ECTS
AD251.02,MANAGERIAL STATISTICS I,NESRİN OKAY AKMAN,📅 MMM,⏱️ 345,3 Cr 5 ECTS
AD302.01,RESEARCH METHODS,BELGİN ARISAN,📅 ThThTh,⏱️ 234,3 Cr 6 ECTS
AD311.01,FINANCIAL MANAGEMENT (A-J),NESLİHAN N.YILMAZ,📅 TTT,⏱️ 234,3 Cr 6 ECTS
AD311.02,FINANCIAL MANAGEMENT (K-Z),ERDİNÇ AKYILDIRIM,📅 FFF,⏱️ 123,3 Cr 6 ECTS
AD351.01,OPERATIONS MANAGEMENT,YAVUZ ACAR,📅 WWW,⏱️ 234,3 Cr 5 ECTS
AD353.01,MANAGEMENT SCIENCE,UMMAN MAHİR YILDIRIM,📅 WWW,⏱️ 567,3 Cr 5 ECTS
AD401.01,GLOBALIZATION&INTERNATIONAL MANAGEMENT,ÖZLEM ÖZ,📅 TWW,⏱️ 545,3 Cr 6 ECTS
AD408.01,STRATEGIC MANAGEMENT,AHMET ESEN,📅 ThThTh,⏱️ 234,3 Cr 6 ECTS
AD409.01,BUSINESS ETHICS,ESER BORAK,📅 TTT,⏱️ 234,3 Cr 6 ECTS
AD410.01,ADVANCED MANAGERIAL ACCOUNTING,İREM NUHOĞLU,📅 TTT,⏱️ 678,3 Cr 6 ECTS
AD420.01,ENTREPRENEURIAL FINANCE: FIN.POL.FOR NEW,CENK CEVAT KARAHAN,📅 MMM,⏱️ 234,3 Cr 6 ECTS
AD424.01,HUMAN BEHAVIOR IN ORGANIZATIONS,HAYAT KABASAKAL,📅 MMM,⏱️ 234,3 Cr 6 ECTS
AD425.01,MANAGEMENT OF TECHNOLOGY,OSMAN YILMAZ,📅 FFF,⏱️ 789,3 Cr 6 ECTS
AD430.01,TURKISH BUSINESS ENVIRONMENT,İDİL TÜRKMENOĞLU,📅 WWW,⏱️ 91011,3 Cr 6 ECTS
AD441.01,CONSUMER BEHAVIOR,ESER BORAK,📅 MMT,⏱️ 456,3 Cr 6 ECTS
AD452.01,INFORMATION SYSTEMS MANAGEMENT,ASUNUR CEZAR,📅 ThThTh,⏱️ 678,3 Cr 6 ECTS
AD452.02,INFORMATION SYSTEMS MANAGEMENT,ASUNUR CEZAR,📅 ThThTh,⏱️ 678,3 Cr 6 ECTS
AD460.01,E-COMMERCE,VEDAT AKGİRAY,📅 ThThTh,⏱️ 91011,3 Cr 6 ECTS
AD467.01,CORPORATE GOVERNANCE,VEDAT AKGİRAY,📅 MMM,⏱️ 234,3 Cr 6 ECTS
AD470.01,INVESTMENT MANAGEMENT,ATİLLA ODABAŞI,📅 FFF,⏱️ 678,3 Cr 6 ECTS
AD474.01,INVESTMENT&FINANCIAL DATA ANALYSIS,TAHA ARVAS,📅 WWW,⏱️ 678,3 Cr 6 ECTS
AD477.01,BANK MANAGEMENT,BÜLENT ŞENVER,,,3 Cr 6 ECTS
AD480.01,SPECIAL TOPICS IN MANAGEMENT : LEADERSHİP & CREATIVITY,BEHİCE ERTENÜ,📅 TTT,⏱️ 678,3 Cr 6 ECTS
AD497.01,BACHELOR OF ARTS DEGREE PROJECT,GÜVEN ALPAY,📅 FFF,⏱️ 123,3 Cr 6 ECTS
AD49A.01,SP.TP.IN FINANCE-BEHAVIORAL FINANCE,NESLİHAN N.YILMAZ,📅 ThThTh,⏱️ 345,3 Cr 6 ECTS
AD49B.01,SP.TP.FINANCE-FINTECH,VEDAT AKGİRAY,📅 WWW,⏱️ 678,3 Cr 6 ECTS
AD49C.01,SP.TP.IN INTERNATIONAL BUSINESS&SALES LAW,ERDEM BÜYÜKSAGİS,📅 FFF,⏱️ 678,3 Cr 6 ECTS
AD501.01,TOPICS IN BUSINESS ECONOMICS,METİN ERCAN,📅 FFF,⏱️ 234,3 Cr 6 ECTS
AD504.01,RESEARCH METHODOLOGY,BELGİN ARISAN,📅 MMM,⏱️ 234,3 Cr 6 ECTS
AD514.01,ADVANCED FINANCIAL MANAGEMENT,OĞUZHAN ÖZBAŞ,,,3 Cr 7.5 ECTS
AD527.01,ORGANIZATIONAL BEHAVIOR&DESIGN,HAYAT KABASAKAL,📅 ThThTh,⏱️ 234,3 Cr 6 ECTS
AD545.01,THEORY QUEST IN MARKETING,GÜLDEN ASUGMAN,📅 WWW,⏱️ 345,3 Cr 6 ECTS
AD551.01,INTRO. THEORIES OF OPERATIONS MANAGEMENT,YAVUZ ACAR,📅 ThThTh,⏱️ 8910,3 Cr 6 ECTS
AD568.01,"ACCOUNTING,INFORMATION&CONTROL SYSTEMS",ALİ COŞKUN,📅 WWW,⏱️ 678,3 Cr 6 ECTS
AD573.01,FINANCIAL ECONOMETRICS,NESRİN OKAY AKMAN,📅 TTT,⏱️ 8910,3 Cr 7.5 ECTS
AD577.01,FINANCIAL THEORY&CORPORATE POLICY,MİNE UĞURLU,📅 TTT,⏱️ 456,3 Cr 6 ECTS
AD579.01,GRADUATE SEMINAR,METİN ERCAN,📅 MMM,⏱️ 8910,0 Cr 2 ECTS
AD581.01,DIRECTED READINGS IN MANAGEMENT,YAVUZ ACAR,,,3 Cr 6 ECTS
AD581.02,DIRECTED READINGS IN MANAGEMENT,VEDAT AKGİRAY,,,3 Cr 6 ECTS
AD581.03,DIRECTED READINGS IN MANAGEMENT,ERDİNÇ AKYILDIRIM,,,3 Cr 6 ECTS
AD581.04,DIRECTED READINGS IN MANAGEMENT,BELGİN ARISAN,,,3 Cr 6 ECTS
AD581.05,DIRECTED READINGS IN MANAGEMENT,GÜLDEN ASUGMAN,,,3 Cr 6 ECTS
AD581.06,DIRECTED READINGS IN MANAGEMENT,ASUNUR CEZAR,,,3 Cr 6 ECTS
AD581.07,DIRECTED READINGS IN MANAGEMENT,ALİ COŞKUN,,,3 Cr 6 ECTS
AD581.08,DIRECTED READINGS IN MANAGEMENT,METİN ERCAN,,,3 Cr 6 ECTS
AD581.09,DIRECTED READINGS IN MANAGEMENT,HAYAT KABASAKAL,,,3 Cr 6 ECTS
AD581.10,DIRECTED READINGS IN MANAGEMENT,HÜSEYİN KARACA,,,3 Cr 6 ECTS
AD581.11,DIRECTED READINGS IN MANAGEMENT,ÖZLEM HESAPÇI KARACA,,,3 Cr 6 ECTS
AD581.12,DIRECTED READINGS IN MANAGEMENT,CENK CEVAT KARAHAN,,,3 Cr 6 ECTS
AD581.13,DIRECTED READINGS IN MANAGEMENT,İREM NUHOĞLU,,,3 Cr 6 ECTS
AD581.14,DIRECTED READINGS IN MANAGEMENT,NESRİN OKAY AKMAN,,,3 Cr 6 ECTS
AD581.15,DIRECTED READINGS IN MANAGEMENT,ÖZLEM ÖZ,,,3 Cr 6 ECTS
AD581.16,DIRECTED READINGS IN MANAGEMENT,ÖZGÜN BURCU RODOPMAN,,,3 Cr 6 ECTS
AD581.17,DIRECTED READINGS IN MANAGEMENT,NESLİHAN N.YILMAZ,,,3 Cr 6 ECTS
AD59C.01,SP.TP.IN FINANCIAL ANALYTICS,ERDİNÇ AKYILDIRIM,📅 ThThTh,⏱️ 567,3 Cr 7.5 ECTS
AD600.01,RESEARCH METHODS,FATİH KİRAZ,📅 MMM,⏱️ 567,4 Cr 10 ECTS
AD613.01,THEORY OF FINANCIAL MARKETS&INSTRUMENTS,CENK CEVAT KARAHAN,📅 TTT,⏱️ 234,4 Cr 10 ECTS
AD620.01,HISTORY OF MANAGEMENT THOUGHT,ÖZGÜN BURCU RODOPMAN,📅 ThThTh,⏱️ 678,4 Cr 10 ECTS
AD627.01,ORGANIZATION THEORY,GÜVEN ALPAY,📅 TTT,⏱️ 123,4 Cr 20 ECTS
AD640.01,MARKETING THEORY,GÜLDEN ASUGMAN,,,4 Cr 10 ECTS
AD643.01,THEORY OF CONSUMER BEHAVIOR,ÖZLEM HESAPÇI KARACA,,,4 Cr 20 ECTS
AD675.01,DIRECTED READINGS IN OIM,YAVUZ ACAR,,,4 Cr 30 ECTS
AD676.01,DIRECTED READINGS IN OIM,ASUNUR CEZAR,,,4 Cr 30 ECTS
AD680.01,DIRECTED READINGS IN FINANCE THEORY,VEDAT AKGİRAY,,,4 Cr 30 ECTS
AD680.02,DIRECTED READINGS IN FINANCE THEORY,ERDİNÇ AKYILDIRIM,,,4 Cr 30 ECTS
AD680.03,DIRECTED READINGS IN FINANCE THEORY,ALİ COŞKUN,,,4 Cr 30 ECTS
AD680.04,DIRECTED READINGS IN FINANCE THEORY,METİN ERCAN,,,4 Cr 30 ECTS
AD681.01,DIRECTED READINGS IN FINANCE THEORY,CENK CEVAT KARAHAN,,,4 Cr 30 ECTS
AD682.01,DIRECTED READINGS IN FINANCE THEORY,İREM NUHOĞLU,,,4 Cr 30 ECTS
AD683.01,DIRECTED READINGS IN FINANCE THEORY,NESRİN OKAY AKMAN,,,4 Cr 30 ECTS
AD684.01,DIRECTED READINGS IN FINANCE THEORY,NESLİHAN N.YILMAZ,,,4 Cr 30 ECTS
AD685.01,DIRECTED READ.IN MGMT.&ORGANIZ.THEORY,HAYAT KABASAKAL,,,4 Cr 30 ECTS
AD686.01,DIRECTED READ.IN MGMT.&ORGANIZ.THEORY,ÖZLEM ÖZ,,,4 Cr 30 ECTS
AD687.01,DIRECTED READ.IN MGMT.&ORGANIZ. THEORY,ÖZGÜN BURCU RODOPMAN,,,4 Cr 30 ECTS
AD690.01,MASTER THESIS,YAVUZ ACAR,,,0 Cr 60 ECTS
AD690.02,MASTER THESIS,VEDAT AKGİRAY,,,0 Cr 60 ECTS
AD690.03,MASTER THESIS,ERDİNÇ AKYILDIRIM,,,0 Cr 60 ECTS
AD690.04,MASTER THESIS,BELGİN ARISAN,,,0 Cr 60 ECTS
AD690.05,MASTER THESIS,GÜLDEN ASUGMAN,,,0 Cr 60 ECTS
AD690.06,MASTER THESIS,ASUNUR CEZAR,,,0 Cr 60 ECTS
AD690.07,MASTER THESIS,ALİ COŞKUN,,,0 Cr 60 ECTS
AD690.08,MASTER THESIS,METİN ERCAN,,,0 Cr 60 ECTS
AD690.09,MASTER THESIS,HAYAT KABASAKAL,,,0 Cr 60 ECTS
AD690.10,MASTER THESIS,HÜSEYİN KARACA,,,0 Cr 60 ECTS
AD690.11,MASTER THESIS,ÖZLEM HESAPÇI KARACA,,,0 Cr 60 ECTS
AD690.12,MASTER THESIS,CENK CEVAT KARAHAN,,,0 Cr 60 ECTS
AD690.13,MASTER THESIS,İREM NUHOĞLU,,,0 Cr 60 ECTS
AD690.14,MASTER THESIS,NESRİN OKAY AKMAN,,,0 Cr 60 ECTS
AD690.15,MASTER THESIS,ÖZLEM ÖZ,,,0 Cr 60 ECTS
AD690.16,MASTER THESIS,ÖZGÜN BURCU RODOPMAN,,,0 Cr 60 ECTS
AD690.17,MASTER THESIS,NESLİHAN N.YILMAZ,,,0 Cr 60 ECTS
AD691.01,DIRECTED READINGS IN MARKETING THEORY,BELGİN ARISAN,,,4 Cr 30 ECTS
AD692.01,DIRECTED READINGS IN MARKETING THEORY,GÜLDEN ASUGMAN,,,4 Cr 30 ECTS
AD693.01,DIRECTED READINGS IN MARKETING THEORY,HÜSEYİN KARACA,,,4 Cr 30 ECTS
AD694.01,DIRECTED READINGS IN MARKETING THEORY,ÖZLEM HESAPÇI KARACA,,,4 Cr 30 ECTS
AD698.01,RESEARCH SEMINAR III,METİN ERCAN,📅 MMM,⏱️ 8910,0 Cr 3 ECTS
AD790.01,Ph.D DISSERTATION,YAVUZ ACAR,,,0 Cr 120 ECTS
AD790.02,Ph.D DISSERTATION,VEDAT AKGİRAY,,,0 Cr 120 ECTS
AD790.03,Ph.D DISSERTATION,ERDİNÇ AKYILDIRIM,,,0 Cr 120 ECTS
AD790.04,Ph.D DISSERTATION,BELGİN ARISAN,,,0 Cr 120 ECTS
AD790.05,Ph.D DISSERTATION,GÜLDEN ASUGMAN,,,0 Cr 120 ECTS
AD790.06,Ph.D DISSERTATION,ASUNUR CEZAR,,,0 Cr 120 ECTS
AD790.07,Ph.D DISSERTATION,ALİ COŞKUN,,,0 Cr 120 ECTS
AD790.08,Ph.D DISSERTATION,METİN ERCAN,,,0 Cr 120 ECTS
AD790.09,Ph.D DISSERTATION,HAYAT KABASAKAL,,,0 Cr 120 ECTS
AD790.10,Ph.D DISSERTATION,HÜSEYİN KARACA,,,0 Cr 120 ECTS
AD790.11,Ph.D DISSERTATION,ÖZLEM HESAPÇI KARACA,,,0 Cr 120 ECTS
AD790.12,Ph.D DISSERTATION,CENK CEVAT KARAHAN,,,0 Cr 120 ECTS
AD790.13,Ph.D DISSERTATION,İREM NUHOĞLU,,,0 Cr 120 ECTS
AD790.14,Ph.D DISSERTATION,NESRİN OKAY AKMAN,,,0 Cr 120 ECTS
AD790.15,Ph.D DISSERTATION,ÖZLEM ÖZ,,,0 Cr 120 ECTS
AD790.16,Ph.D DISSERTATION,ÖZGÜN BURCU RODOPMAN,,,0 Cr 120 ECTS
AD790.17,Ph.D DISSERTATION,NESLİHAN N.YILMAZ,,,0 Cr 120 ECTS
ADEX501.01,FINANCIAL ACCOUNTING,İREM NUHOĞLU,📅 StStSt,⏱️ 678,2 Cr 3 ECTS
ADEX501.02,FINANCIAL ACCOUNTING,İREM NUHOĞLU,📅 MMM,⏱️ 678,2 Cr 3 ECTS
ADEX502.01,MACROECONOMICS FOR GLOBAL ECONOMY,METİN ERCAN,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX502.02,MACROECONOMICS FOR GLOBAL ECONOMY,METİN ERCAN,📅 ThThTh,⏱️ 101112,2 Cr 3 ECTS
ADEX503.01,CORPORATE FINANCE I,NESLİHAN N.YILMAZ,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX503.02,CORPORATE FINANCE I,NESLİHAN N.YILMAZ,📅 TTT,⏱️ 101112,2 Cr 3 ECTS
ADEX522.01,MARKETING MANAGEMENT,BELGİN ARISAN,📅 StStSt,⏱️ 234,2 Cr 3 ECTS
ADEX522.02,MARKETING MANAGEMENT,BELGİN ARISAN,📅 FFF,⏱️ 101112,2 Cr 3 ECTS
ADEX523.01,MARKETING STRATEGY,ESER BORAK,📅 MMM,⏱️ 101112,2 Cr 3 ECTS
ADEX523.02,MARKETING STRATEGY,ESER BORAK,📅 FFF,⏱️ 101112,2 Cr 3 ECTS
ADEX525.01,MANAGERIAL STATISTICS,NESRİN OKAY AKMAN,📅 ThThTh,⏱️ 101112,2 Cr 3 ECTS
ADEX525.02,MANAGERIAL STATISTICS,NESRİN OKAY AKMAN,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX538.01,MANAGING ORGANIZATIONS,ÖZGÜN BURCU RODOPMAN,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX538.02,MANAGING ORGANIZATIONS,ÖZGÜN BURCU RODOPMAN,📅 TTT,⏱️ 101112,2 Cr 3 ECTS
ADEX549.01,OPERATIONS MANAGEMENT,YAVUZ ACAR,📅 StStSt,⏱️ 234,2 Cr 3 ECTS
ADEX549.02,OPERATIONS MANAGEMENT,YAVUZ ACAR,📅 FFF,⏱️ 101112,2 Cr 3 ECTS
ADEX580.01,ORIENTATION,ALİ COŞKUN,📅 WWW,⏱️ 101112,0 Cr 3 ECTS
ADEX580.02,ORIENTATION,ALİ COŞKUN,📅 ThThTh,⏱️ 101112,0 Cr 3 ECTS
ADEX591.01,BUSINESS CASE WRITING SEMINAR,MUSTAFA HAYRİ TONGARLAK,📅 MMM,⏱️ 101112,0 Cr 3 ECTS
ADEX591.02,BUSINESS CASE WRITING SEMINAR,MUSTAFA HAYRİ TONGARLAK,📅 FFF,⏱️ 101112,0 Cr 3 ECTS
ADEX592.01,DIRECTED READINGS I,VEDAT AKGİRAY,,,1 Cr 3 ECTS
ADEX592.03,DIRECTED READINGS I,GÜVEN ALPAY,,,1 Cr 3 ECTS
ADEX592.04,DIRECTED READINGS I,BELGİN ARISAN,,,1 Cr 3 ECTS
ADEX592.06,DIRECTED READINGS I,ESER BORAK,,,1 Cr 3 ECTS
ADEX592.07,DIRECTED READINGS I,ASUNUR CEZAR,,,1 Cr 3 ECTS
ADEX592.08,DIRECTED READINGS I,ALİ COŞKUN,,,1 Cr 3 ECTS
ADEX592.09,DIRECTED READINGS I,METİN ERCAN,,,1 Cr 3 ECTS
ADEX592.10,DIRECTED READINGS I,YAVUZ ACAR,,,1 Cr 3 ECTS
ADEX592.12,DIRECTED READINGS I,HAYAT KABASAKAL,,,1 Cr 3 ECTS
ADEX592.14,DIRECTED READINGS I,CENK CEVAT KARAHAN,,,1 Cr 3 ECTS
ADEX592.15,DIRECTED READINGS I,İREM NUHOĞLU,,,1 Cr 3 ECTS
ADEX592.17,DIRECTED READINGS I,NESRİN OKAY AKMAN,,,1 Cr 3 ECTS
ADEX592.18,DIRECTED READINGS I,ÖZGÜN BURCU RODOPMAN,,,1 Cr 3 ECTS
ADEX592.19,DIRECTED READINGS I,MUSTAFA HAYRİ TONGARLAK,,,1 Cr 3 ECTS
ADEX592.21,DIRECTED READINGS I,NESLİHAN N.YILMAZ,,,1 Cr 3 ECTS
ADEX596.01,TERM PROJECT I,VEDAT AKGİRAY,,,0 Cr 3 ECTS
ADEX596.03,TERM PROJECT I,GÜVEN ALPAY,,,0 Cr 3 ECTS
ADEX596.04,TERM PROJECT I,BELGİN ARISAN,,,0 Cr 3 ECTS
ADEX596.06,TERM PROJECT I,ESER BORAK,,,0 Cr 3 ECTS
ADEX596.07,TERM PROJECT I,ASUNUR CEZAR,,,0 Cr 3 ECTS
ADEX596.08,TERM PROJECT I,ALİ COŞKUN,,,0 Cr 3 ECTS
ADEX596.09,TERM PROJECT I,METİN ERCAN,,,0 Cr 3 ECTS
ADEX596.10,TERM PROJECT I,YAVUZ ACAR,,,0 Cr 3 ECTS
ADEX596.12,TERM PROJECT I,HAYAT KABASAKAL,,,0 Cr 3 ECTS
ADEX596.14,TERM PROJECT I,CENK CEVAT KARAHAN,,,0 Cr 3 ECTS
ADEX596.15,TERM PROJECT I,İREM NUHOĞLU,,,0 Cr 3 ECTS
ADEX596.17,TERM PROJECT I,NESRİN OKAY AKMAN,,,0 Cr 3 ECTS
ADEX596.18,TERM PROJECT I,ÖZGÜN BURCU RODOPMAN,,,0 Cr 3 ECTS
ADEX596.19,TERM PROJECT I,MUSTAFA HAYRİ TONGARLAK,,,0 Cr 3 ECTS
ADEX596.21,TERM PROJECT I,NESLİHAN N.YILMAZ,,,0 Cr 3 ECTS
ADEX501.01,FINANCIAL ACCOUNTING,İREM NUHOĞLU,📅 StStSt,⏱️ 678,2 Cr 3 ECTS
ADEX501.02,FINANCIAL ACCOUNTING,İREM NUHOĞLU,📅 MMM,⏱️ 678,2 Cr 3 ECTS
ADEX502.01,MACROECONOMICS FOR GLOBAL ECONOMY,METİN ERCAN,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX502.02,MACROECONOMICS FOR GLOBAL ECONOMY,METİN ERCAN,📅 ThThTh,⏱️ 101112,2 Cr 3 ECTS
ADEX503.01,CORPORATE FINANCE I,NESLİHAN N.YILMAZ,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX503.02,CORPORATE FINANCE I,NESLİHAN N.YILMAZ,📅 TTT,⏱️ 101112,2 Cr 3 ECTS
ADEX522.01,MARKETING MANAGEMENT,BELGİN ARISAN,📅 StStSt,⏱️ 234,2 Cr 3 ECTS
ADEX522.02,MARKETING MANAGEMENT,BELGİN ARISAN,📅 FFF,⏱️ 101112,2 Cr 3 ECTS
ADEX523.01,MARKETING STRATEGY,ESER BORAK,📅 MMM,⏱️ 101112,2 Cr 3 ECTS
ADEX523.02,MARKETING STRATEGY,ESER BORAK,📅 FFF,⏱️ 101112,2 Cr 3 ECTS
ADEX525.01,MANAGERIAL STATISTICS,NESRİN OKAY AKMAN,📅 ThThTh,⏱️ 101112,2 Cr 3 ECTS
ADEX525.02,MANAGERIAL STATISTICS,NESRİN OKAY AKMAN,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX538.01,MANAGING ORGANIZATIONS,ÖZGÜN BURCU RODOPMAN,📅 WWW,⏱️ 101112,2 Cr 3 ECTS
ADEX538.02,MANAGING ORGANIZATIONS,ÖZGÜN BURCU RODOPMAN,📅 TTT,⏱️ 101112,2 Cr 3 ECTS
ADEX549.01,OPERATIONS MANAGEMENT,YAVUZ ACAR,📅 StStSt,⏱️ 234,2 Cr 3 ECTS
ADEX549.02,OPERATIONS MANAGEMENT,YAVUZ ACAR,📅 FFF,⏱️ 101112,2 Cr 3 ECTS
ADEX580.01,ORIENTATION,ALİ COŞKUN,📅 WWW,⏱️ 101112,0 Cr 3 ECTS
ADEX580.02,ORIENTATION,ALİ COŞKUN,📅 ThThTh,⏱️ 101112,0 Cr 3 ECTS
ADEX591.01,BUSINESS CASE WRITING SEMINAR,MUSTAFA HAYRİ TONGARLAK,📅 MMM,⏱️ 101112,0 Cr 3 ECTS
ADEX591.02,BUSINESS CASE WRITING SEMINAR,MUSTAFA HAYRİ TONGARLAK,📅 FFF,⏱️ 101112,0 Cr 3 ECTS
ADEX592.01,DIRECTED READINGS I,VEDAT AKGİRAY,,,1 Cr 3 ECTS
ADEX592.03,DIRECTED READINGS I,GÜVEN ALPAY,,,1 Cr 3 ECTS
ADEX592.04,DIRECTED READINGS I,BELGİN ARISAN,,,1 Cr 3 ECTS
ADEX592.06,DIRECTED READINGS I,ESER BORAK,,,1 Cr 3 ECTS
ADEX592.07,DIRECTED READINGS I,ASUNUR CEZAR,,,1 Cr 3 ECTS
ADEX592.08,DIRECTED READINGS I,ALİ COŞKUN,,,1 Cr 3 ECTS
ADEX592.09,DIRECTED READINGS I,METİN ERCAN,,,1 Cr 3 ECTS
ADEX592.10,DIRECTED READINGS I,YAVUZ ACAR,,,1 Cr 3 ECTS
ADEX592.12,DIRECTED READINGS I,HAYAT KABASAKAL,,,1 Cr 3 ECTS
ADEX592.14,DIRECTED READINGS I,CENK CEVAT KARAHAN,,,1 Cr 3 ECTS
ADEX592.15,DIRECTED READINGS I,İREM NUHOĞLU,,,1 Cr 3 ECTS
ADEX592.17,DIRECTED READINGS I,NESRİN OKAY AKMAN,,,1 Cr 3 ECTS
ADEX592.18,DIRECTED READINGS I,ÖZGÜN BURCU RODOPMAN,,,1 Cr 3 ECTS
ADEX592.19,DIRECTED READINGS I,MUSTAFA HAYRİ TONGARLAK,,,1 Cr 3 ECTS
ADEX592.21,DIRECTED READINGS I,NESLİHAN N.YILMAZ,,,1 Cr 3 ECTS
ADEX596.01,TERM PROJECT I,VEDAT AKGİRAY,,,0 Cr 3 ECTS
ADEX596.03,TERM PROJECT I,GÜVEN ALPAY,,,0 Cr 3 ECTS
ADEX596.04,TERM PROJECT I,BELGİN ARISAN,,,0 Cr 3 ECTS
ADEX596.06,TERM PROJECT I,ESER BORAK,,,0 Cr 3 ECTS
ADEX596.07,TERM PROJECT I,ASUNUR CEZAR,,,0 Cr 3 ECTS
ADEX596.08,TERM PROJECT I,ALİ COŞKUN,,,0 Cr 3 ECTS
ADEX596.09,TERM PROJECT I,METİN ERCAN,,,0 Cr 3 ECTS
ADEX596.10,TERM PROJECT I,YAVUZ ACAR,,,0 Cr 3 ECTS
ADEX596.12,TERM PROJECT I,HAYAT KABASAKAL,,,0 Cr 3 ECTS
ADEX596.14,TERM PROJECT I,CENK CEVAT KARAHAN,,,0 Cr 3 ECTS
ADEX596.15,TERM PROJECT I,İREM NUHOĞLU,,,0 Cr 3 ECTS
ADEX596.17,TERM PROJECT I,NESRİN OKAY AKMAN,,,0 Cr 3 ECTS
ADEX596.18,TERM PROJECT I,ÖZGÜN BURCU RODOPMAN,,,0 Cr 3 ECTS
ADEX596.19,TERM PROJECT I,MUSTAFA HAYRİ TONGARLAK,,,0 Cr 3 ECTS
ADEX596.21,TERM PROJECT I,NESLİHAN N.YILMAZ,,,0 Cr 3 ECTS
AE111.01,CRITICAL SKILLS IN ENGLISH I,ÇİĞDEM DALAY,📅 WWF,⏱️ 121,3 Cr 3 ECTS
AE111.02,CRITICAL SKILLS IN ENGLISH I,ÇİĞDEM DALAY,📅 WWF,⏱️ 562,3 Cr 3 ECTS
AE111.03,CRITICAL SKILLS IN ENGLISH I,FATMA ANG TAŞKENT,📅 MMW,⏱️ 121,3 Cr 3 ECTS
AE111.04,CRITICAL SKILLS IN ENGLISH I,FATMA ANG TAŞKENT,📅 MMW,⏱️ 452,3 Cr 3 ECTS
AE111.05,CRITICAL SKILLS IN ENGLISH I,EDWARD MITCHELL,📅 MTTh,⏱️ 455,3 Cr 3 ECTS
AE111.06,CRITICAL SKILLS IN ENGLISH I,EDWARD MITCHELL,📅 MTTh,⏱️ 666,3 Cr 3 ECTS
AE111.07,CRITICAL SKILLS IN ENGLISH I,NAZIM ÇAPKIN,📅 WWTh,⏱️ 126,3 Cr 3 ECTS
AE111.08,CRITICAL SKILLS IN ENGLISH I,NAZIM ÇAPKIN,📅 WWTh,⏱️ 677,3 Cr 3 ECTS
AE111.09,CRITICAL SKILLS IN ENGLISH I,NİLGÜN FIRAT,📅 MThTh,⏱️ 467,3 Cr 3 ECTS
AE111.10,CRITICAL SKILLS IN ENGLISH I,NİLGÜN FIRAT,📅 MMTh,⏱️ 675,3 Cr 3 ECTS
AE111.11,CRITICAL SKILLS IN ENGLISH I,ASUDE KÜÇÜK,📅 ThThTh,⏱️ 567,3 Cr 3 ECTS
AE111.12,CRITICAL SKILLS IN ENGLISH I,GÖZDE HAN,📅 MMT,⏱️ 455,3 Cr 3 ECTS
AE111.13,CRITICAL SKILLS IN ENGLISH I,GÖZDE HAN,📅 MMT,⏱️ 676,3 Cr 3 ECTS
AE111.14,CRITICAL SKILLS IN ENGLISH I,MELİS GÜNEKAN,📅 MWW,⏱️ 434,3 Cr 3 ECTS
AE111.15,CRITICAL SKILLS IN ENGLISH I,MELİS GÜNEKAN,📅 MWW,⏱️ 578,3 Cr 3 ECTS
AE111.16,CRITICAL SKILLS IN ENGLISH I,SELVİN YALTIR,📅 WWTh,⏱️ 458,3 Cr 3 ECTS
AE111.17,CRITICAL SKILLS IN ENGLISH I,SELVİN YALTIR,📅 WThTh,⏱️ 767,3 Cr 3 ECTS
AE221.02,CRITICAL READING,AYLİN VARTANYAN,📅 TThTh,⏱️ 534,3 Cr 4 ECTS
AE221.03,CRITICAL READING,NAZIM ÇAPKIN,📅 ThFF,⏱️ 223,3 Cr 4 ECTS
AE221.04,CRITICAL READING,NAZIM ÇAPKIN,📅 ThFF,⏱️ 367,3 Cr 4 ECTS
AE221.05,CRITICAL READING,ÇİĞDEM DALAY,📅 ThThF,⏱️ 563,3 Cr 4 ECTS
