Lesson Code,Lesson Name,Teacher Name,Lesson Date,Lesson Hours,Lesson Credit
LS790.10,PHD THESIS,GÜNİZİ KARTAL,,,0 Cr 120 ECTS
POLS101.01,INTRODUCTION TO POLITICAL SCIENCE,HAKAN YILMAZ,📅 MMT,⏱️ 788,3 Cr 6 ECTS
POLS101.02,INTRODUCTION TO POLITICAL SCIENCE,ZEYNEP KADİRBEYOĞLU,📅 MMW,⏱️ 785,3 Cr 6 ECTS
POLS101.03,INTRODUCTION TO POLITICAL SCIENCE,YEON KYUNG GRACE PARK,📅 MTT,⏱️ 378,3 Cr 6 ECTS
POLS201.01,HISTORY OF POLITICAL THOUGHT I,VOLKAN ÇIDAM,📅 MWW,⏱️ 867,3 Cr 5 ECTS
POLS203.01,SOCIAL STATISTICS,BAŞAK TARAKTAŞ,📅 MMTT,⏱️ 6767,4 Cr 6 ECTS
POLS215.01,COMPARATIVE POLITICS,MURAT AKAN,📅 MMT,⏱️ 342,3 Cr 6 ECTS
POLS217.01,DIPLOMATIC HISTORY,ALPER YAĞCI,📅 TTW,⏱️ 344,3 Cr 6 ECTS
POLS303.01,FUNDAMENTALS OF POLITICAL ECONOMY,MİNE EDER,📅 TWW,⏱️ 567,3 Cr 7 ECTS
POLS311.01,POLITICS OF LATIN AMERICA,MERT ARSLANALP,📅 MMTh,⏱️ 783,3 Cr 6 ECTS
POLS314.01,POLITICS & CINEMA,VOLKAN ÇIDAM,📅 ThThTh,⏱️ 567,3 Cr 5 ECTS
POLS321.01,THEORIES OF INTERNATIONAL RELATIONS,STAFF STAFF,📅 FFF,⏱️ 678,3 Cr 5 ECTS
POLS324.01,INTERNATIONAL LAW,FLEUR VAN LEEUWEN,📅 WWTh,⏱️ 232,3 Cr 5 ECTS
POLS326.01,TWENTIETH CENTURY DIPLOMATIC HISTORY,STAFF STAFF,📅 TWW,⏱️ 445,3 Cr 5 ECTS
POLS373.01,POLITICS & CULTURE,HAKAN YILMAZ,📅 MTT,⏱️ 667,3 Cr 5 ECTS
POLS403.01,POLITICAL PHILOSOPHY,GAYE İLHAN DEMİRYOL,📅 WWTh,⏱️ 788,3 Cr 6 ECTS
POLS408.01,DEMOCRATIC THEORY,GAYE İLHAN DEMİRYOL,📅 WWTh,⏱️ 343,3 Cr 6 ECTS
POLS409.01,CONTEMPORARY AMERICAN POLITICS,STAFF STAFF,📅 MWW,⏱️ 223,3 Cr 6 ECTS
POLS420.01,INTERNATIONAL POLITICAL ECONOMY,ALPER YAĞCI,📅 TWW,⏱️ 556,3 Cr 6 ECTS
POLS421.01,COMPARATIVE STATE & BUREAUCRACY,BAŞAK TARAKTAŞ,📅 MMT,⏱️ 342,3 Cr 6 ECTS
POLS456.01,TOPICS IN EUROPEAN INTEGRATION,STAFF STAFF,📅 TThTh,⏱️ 656,3 Cr 6 ECTS
POLS464.01,THE LAW OF INTERNATIONAL INSTITUTIONS,FLEUR VAN LEEUWEN,📅 MFF,⏱️ 634,3 Cr 6 ECTS
POLS482.01,SELECTED TOPICS IN COMPARATIVE POLITICS,MURAT AKAN,📅 MTT,⏱️ 534,3 Cr 5 ECTS
POLS501.01,ADVANCED RESEARCH METHODS,ZEYNEP KADİRBEYOĞLU,📅 TTT,⏱️ 567,3 Cr 8 ECTS
POLS521.01,INTERNATIONAL POLITICS,YEON KYUNG GRACE PARK,📅 WWW,⏱️ 234,3 Cr 8 ECTS
POLS529.01,INTERNATIONAL LAW&ORGANIZATIONS,FLEUR VAN LEEUWEN,📅 WWW,⏱️ 678,3 Cr 7 ECTS
POLS541.01,COMPARATIVE POLITICS,MERT ARSLANALP,📅 ThThTh,⏱️ 678,3 Cr 8 ECTS
POLS579.01,GRADUATE SEMINAR,MERT ARSLANALP,,,0 Cr 7 ECTS
POLS585.01,RESEARCH & READING IN POLITICAL THEORY I,VOLKAN ÇIDAM,,,3 Cr 6 ECTS
POLS587.01,R&R IN POLITICAL THEORY,GAYE İLHAN DEMİRYOL,,,3 Cr 6 ECTS
POLS592.01,R.&R.IN INTERNATIONAL RELATIONS II,YEON KYUNG GRACE PARK,,,3 Cr 6 ECTS
POLS594.01,R&R IN COMPARATIVE POLITICS,ZEYNEP KADİRBEYOĞLU,,,3 Cr 6 ECTS
POLS595.01,R&R IN COMPARATIVE POLITICS,MİNE EDER,,,3 Cr 6 ECTS
POLS596.01,R.&R. IN COMPARATIVE POLITICS II,ALPER YAĞCI,,,3 Cr 6 ECTS
POLS597.01,R.&R. IN QUANTITATIVE METHODS I,BAŞAK TARAKTAŞ,,,3 Cr 6 ECTS
POLS622.01,"SECULARISM, DEMOCRACY&RELIGION",MURAT AKAN,,,3 Cr 9 ECTS
POLS682.01,R&R IN TURKISH POLITICS,HAKAN YILMAZ,,,3 Cr 8 ECTS
POLS687.01,R&R IN COMPARATIVE POLITICS,MERT ARSLANALP,,,3 Cr 8 ECTS
POLS690.01,MASTER THESIS,MURAT AKAN,,,0 Cr 60 ECTS
POLS690.02,MASTER THESIS,ZÜHRE AKSOY,,,0 Cr 60 ECTS
POLS690.03,MASTER THESIS,HAKAN YILMAZ,,,0 Cr 60 ECTS
POLS690.06,MASTER THESIS,VOLKAN ÇIDAM,,,0 Cr 60 ECTS
POLS690.08,MASTER THESIS,MİNE EDER,,,0 Cr 60 ECTS
POLS690.09,MASTER THESIS,ZEYNEP KADİRBEYOĞLU,,,0 Cr 60 ECTS
POLS690.10,MASTER THESIS,MERT ARSLANALP,,,0 Cr 60 ECTS
POLS690.12,MASTER THESIS,BAŞAK TARAKTAŞ,,,0 Cr 60 ECTS
POLS690.13,MASTER THESIS,GAYE İLHAN DEMİRYOL,,,0 Cr 60 ECTS
POLS690.14,MASTER THESIS,ALPER YAĞCI,,,0 Cr 60 ECTS
POLS700.01,GRADUATE SEMINAR,MİNE EDER,,,0 Cr 7 ECTS
POLS790.01,DOCTORAL DISSERTATION,MURAT AKAN,,,0 Cr 120 ECTS
POLS790.02,DOCTORAL DISSERTATION,HAKAN YILMAZ,,,0 Cr 120 ECTS
POLS790.04,DOCTORAL DISSERTATION,MİNE EDER,,,0 Cr 120 ECTS
POLS790.06,DOCTORAL DISSERTATION,VOLKAN ÇIDAM,,,0 Cr 120 ECTS
POLS790.08,DOCTORAL DISSERTATION,ZEYNEP KADİRBEYOĞLU,,,0 Cr 120 ECTS
POLS790.12,DOCTORAL DISSERTATION,MERT ARSLANALP,,,0 Cr 120 ECTS
POLS790.13,DOCTORAL DISSERTATION,GAYE İLHAN DEMİRYOL,,,0 Cr 120 ECTS
POLS790.14,DOCTORAL DISSERTATION,ALPER YAĞCI,,,0 Cr 120 ECTS
MATH101.01,CALCULUS I,ÜMİT IŞLAK,📅 TTThTh,⏱️ 1212,4 Cr 6 ECTS
MATH101.02,CALCULUS I,ÜMİT IŞLAK,📅 TTThTh,⏱️ 3434,4 Cr 6 ECTS
MATH101.03,CALCULUS I,BURAK GÜREL,📅 TTThTh,⏱️ 1212,4 Cr 6 ECTS
MATH101.04,CALCULUS I,CRAIG CHARLES VAN COEVERING,📅 TTThTh,⏱️ 3434,4 Cr 6 ECTS
MATH101.05,CALCULUS I,ALP BASSA,📅 TTThTh,⏱️ 1212,4 Cr 6 ECTS
